App,Categoria,Downloads,Tipo,Preco,Nota,Avaliacoes,Contem_Anuncios,Compras_no_App,Versao,Ultima_Atualizacao,Android,Classificacao_Conteudo,Lancamento
Digio: Cartão de Crédito,Finanças,10000000,Gratuito,0.0,4.3,577000,Não,Não,2.21.1.0,17/08/2022,5.1,Classificação Livre,18/07/2016
ZemoBank | Conta PF,Finanças,10000,Gratuito,0.0,2.5,201,Não,Não,3.9.0,29/06/2022,6.0,Classificação Livre,6/09/2019
Cartão Esposende,Finanças,100000,Gratuito,0.0,4.3,3770,Não,Não,104.2.9,16/08/2022,5.0,Classificação Livre,30/03/2020
Creditas - Crédito online,Finanças,1000000,Gratuito,0.0,4.5,7840,Não,Não,8.85.0,17/08/2022,5.0,Classificação Livre,5/06/2018
Afinz / Sorocred,Finanças,1000000,Gratuito,0.0,2.6,32000,Não,Não,Codemagic PROD V8,5/08/2022,5.0,Classificação Livre,31/07/2018
Unicred Visa,Finanças,50000,Gratuito,0.0,4.2,457,Não,Não,3.32,16/08/2022,6.0,Classificação Livre,3/08/2020
Cartão Fácil EPA,Finanças,100000,Gratuito,0.0,4.2,8020,Não,Não,104.2.9,16/08/2022,5.0,Classificação Livre,28/08/2020
É Comigo Santander,Finanças,100000,Gratuito,0.0,2.6,1300,Não,Não,5.8.2,1/08/2022,5.1,Classificação Livre,6/04/2015
Corinthians Bmg: banco da fiel,Finanças,1000000,Gratuito,0.0,4.3,29400,Não,Não,3.40.3-corinthians,11/08/2022,5.0,Classificação Livre,28/02/2019
Cartão EDMAIS,Finanças,100000,Gratuito,0.0,4.4,4920,Não,Não,104.2.9,16/08/2022,5.0,Classificação Livre,18/06/2020
Sicredi,Finanças,5000000,Gratuito,0.0,4.8,281000,Não,Não,5.54.0,12/08/2022,Varia,Classificação Livre,14/12/2015
Voltz: Sua conta digital,Finanças,1000000,Gratuito,0.0,3.0,7410,Não,Não,1.9.0,8/08/2022,5.0,Classificação Livre,7/01/2021
Desfrutar de dinheiro,Entretenimento,1000000,Gratuito,0.0,3.9,16600,Sim,Não,2.5.7,19/08/2022,6.0,"Classificação 12 anos • Violência, Linguagem Imprópria",12/05/2022
Gelt: Cashback e Descontos,Entretenimento,1000000,Gratuito,0.0,4.2,64800,Não,Não,5.5,10/08/2022,5.0,Classificação Livre,1/09/2017
Apcap da Sorte,Entretenimento,1000000,Gratuito,0.0,4.5,25700,Não,Não,6.0.2,17/08/2022,5.0,Classificação Livre,23/03/2018
Cuponomia: Cupons e Cashback,Entretenimento,1000000,Gratuito,0.0,4.5,13000,Não,Não,1.22.1.7,19/08/2022,5.0,Classificação Livre,10/11/2020
Loterias Random Sorte,Entretenimento,50000,Gratuito,0.0,4.7,6730,Sim,Sim,2.40.40,7/08/2022,4.4,Classificação Livre,1/12/2020
Evenfy,Entretenimento,50000,Gratuito,0.0,4.6,445,Sim,Não,2.3.7,13/09/2021,4.4,Classificação Livre,8/07/2015
Melhor Câmbio - Cotações Hoje,Entretenimento,100000,Gratuito,0.0,4.7,1010,Não,Não,4.0.7,16/07/2020,4.4,Classificação Livre,15/04/2016
Zro Bank - Cashback em Bitcoin,Entretenimento,100000,Gratuito,0.0,2.6,1360,Não,Não,1.16.2,19/08/2022,7.0,Classificação Livre,11/03/2020
